Asset,Weight
AAPL,0.15214921355152958
VTI,0.08565213716756531
VXUS,2.8512783889358773e-22
BND,0.5327858341101026
XLE,8.083944856913357e-22
GLD,0.22941281517080261
VNQ,3.752404336430394e-22
